_id,SITE_XN_ROUTE,LOC_LEG,STRT_LAT,STRT_LONG,GPS,SITE_NAME,TFM_DESC,BEARING_DESC,DATA_SRC_CD,RGN_SHORT_NM,Comments
22,7596,59490,-37.80677,144.90463,[-37.806420 +144.905099],D208X7596,(BIKE PATH) MORELAND ST PATH SW BD 50 M N OF PARKER ST,SOUTH WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
23,7600,59471,-37.79975,144.98051,[-37.799708 +144.980594],D208X7600,(BIKE PATH) NAPIER ST PATH N BD 50M N OF GREEVES ST,NORTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
24,7600,59472,-37.79981,144.9805,[-37.799708 +144.980594],D208X7600,(BIKE PATH) NAPIER ST PATH S BD 50M N OF GREEVES ST,SOUTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
25,7604,59466,-37.78822,145.0281,[-37.787934 +145.027142],D208X7604,(BIKE PATH) MAIN YARRA TRAIL NW BD NEAR THE CHANDLER HWY BRIDGE,NORTH WEST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
26,7604,59467,-37.78828,145.02814,[-37.787934 +145.027142],D208X7604,(BIKE PATH) MAIN YARRA TRAIL SE BD NEAR THE CHANDLER HWY BRIDGE,SOUTH EAST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
27,8172,59487,-37.827,144.984,[-37.834025 +145.023728],D208X8172,(BIKE PATH) MAIN YARRA TRAIL NO:1 NW BD ALONG YARRA BVD 66M W OF OF CITYLINK OPASS,NORTH WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
28,8172,59488,-37.827,144.984,[-37.834025 +145.023728],D208X8172,(BIKE PATH) MAIN YARRA TRAIL NO:1 SE BD ALONG YARRA BVD 66M W OF OF CITYLINK OPASS,SOUTH EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
29,8176,59446,-37.8302,144.98781,[-37.830086 +144.987730],D208X8176,(BIKE PATH) SOUTH BANK E BD UNDER PUNT RD BRIDGE,EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
30,8176,59447,-37.8346,144.99656,[-37.830086 +144.987730],D208X8176,(BIKE PATH) SOUTH BANK W BD UNDER PUNT RD BRIDGE,WEST BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
31,8180,59448,-37.778,144.95816,[-37.778002 +144.958163],D208X8180,(BIKE PATH) UPFIELD RAILWAY LIN N BD 10M S OF PARK ST,NORTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
32,8180,59449,-37.77801,144.95816,[-37.778002 +144.958163],D208X8180,(BIKE PATH) UPFIELD RAILWAY LIN S BD 10M S OF PARK ST,SOUTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
33,8184,59469,-37.83429,145.02441,[-37.834055 +145.023716],D208X8184,(BIKE PATH) GARDINERS CREEK TRAIL NW BD 66M W OF CITYLINK OVERPASS,NORTH WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
34,8184,59470,-37.83429,145.02442,[-37.834055 +145.023716],D208X8184,(BIKE PATH) GARDINERS CREEK TRAIL SE BD 66M W OF CITYLINK OVERPASS,SOUTH EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
35,8188,59462,-37.74322,144.99804,[-37.743129 +144.998086],D208X8188,"(BIKE PATH) ST. GEORGES RD NO.2 N BD, N OF BELL ST",NORTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
36,8188,59463,-37.74325,144.99803,[-37.743129 +144.998086],D208X8188,"(BIKE PATH) ST. GEORGES RD NO.2 S BD, N OF BELL ST",SOUTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
37,8192,59456,-37.86261,145.06196,[-37.8626312 +145.061937],D208X8192,(BIKE PATH) GARDINERS CREEK TRAIL NO.2 N BD ADJ ESTELLA ST,NORTH BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
38,8192,59457,-37.86268,145.06198,[-37.8626312 +145.061937],D208X8192,(BIKE PATH) GARDINERS CREEK TRAIL NO.2 S BD ADJ ESTELLA ST,SOUTH BOUND,ACBYC,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
39,8196,59473,-38.50771,145.29107,[-38.507681 +145.290855],D208X8196,(BIKE PATH) PHILLIP ISLAND RD PATH NW BD BTW BUNVEGAN CR & GLEN ST,NORTH WEST BOUND,ACBYC,EASTERN,COMBINED BIDIRECTIONAL SITE
40,8196,59474,-38.50772,145.2911,[-38.507681 +145.290855],D208X8196,(BIKE PATH) PHILLIP ISLAND RD PATH SE BD BTW BUNVEGAN CR & GLEN ST,SOUTH EAST BOUND,ACBYC,EASTERN,COMBINED BIDIRECTIONAL SITE
41,9077,23042,-37.8093912,144.9743112,[-37.809617 +144.977310],D208X9077,(BIKE LANE) ALBERT ST EB 50M E OF MORRISON PL,EAST BOUND,ACBYC,METRO NORTH WEST,
42,9077,40292,-37.8093912,144.9743112,[-37.809810 +144.977330],D208X9077,(BIKE LANE) ALBERT ST WB 50M W OF LANSDOWN ST,WEST BOUND,ACBYC,METRO NORTH WEST,
43,9079,59477,-37.77893,145.03674,[-37.779058 +145.036986],D208X9079,(BIKE PATH) DAREBIN CREEK PATH E BD NEAR HEIDELBERG ROAD NEAR WILLOW BANK GROVE,EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
44,9079,59478,-37.77893,145.03674,[-37.779058 +145.036986],D208X9079,(BIKE PATH) DAREBIN CREEK PATH W BD NEAR HEIDELBERG ROAD NEAR WILLOW BANK GROVE,WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
45,9999,20272,-37.8322796,144.9718019,[-37.828500 +144.971095],D208X9999,(BIKE LANE) ST. KILDA RD N BD 25M N OF CONVENTRY ST,NORTH BOUND,ACBYC,METRO NORTH WEST,
46,9999,32153,-37.8249565,144.9708814,[-37.827412 +144.971704],D208X9999,(BIKE LANE) ST. KILDA RD S BD 30M S OF ANZAC AVE,SOUTH BOUND,ACBYC,METRO NORTH WEST,
47,10223,59443,-37.81153,145.06365,[-37.811591 +145.063684],D208X10223,(BIKE PATH) ANN TRAIL NO:1 NW BD 104M SOUTH OF WHITEHORSE RD,NORTH WEST BOUND,ACBYC,METRO SOUTH EAST,
48,10223,59444,-37.81146,145.06363,[-37.811591 +145.063684],D208X10223,(BIKE PATH) ANN TRAIL NO:1 SE BD 104M SOUTH OF WHITEHORSE RD,SOUTH EAST BOUND,ACBYC,METRO SOUTH EAST,
49,10225,20082,-37.7936124,144.9474502,[-37.792350 +144.945583],D208X10225,(BIKE LANE) FLEMINGTON RD NW BD 10M SE OF DRYBURGH ST,NORTH WEST BOUND,ACBYC,METRO NORTH WEST,
50,10225,29929,-37.7894039,144.942169,[-37.793222 +144.947296],D208X10225,(BIKE LANE) FLEMINGTON RD SE BD 25M NW OF ABBOTSFORD ST,SOUTH EAST BOUND,ACBYC,METRO NORTH WEST,
51,10484,59481,-37.83099,144.94669,[-37.831217 +144.946739],D208X10484,(BIKE PATH) TRAM 109 TRAIL NE BD 10M NE OF ACCESS PATH CNR WOODGATE & BOUNDARY STS,NORTH EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
52,10484,59482,-37.83102,144.94666,[-37.831217 +144.946739],D208X10484,(BIKE PATH) TRAM 109 TRAIL SW BD 10M NE OF ACCESS PATH CNR WOODGATE & BOUNDARY STS,SOUTH WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
53,10486,31906,-37.7925397,144.9584352,[-37.792289 +144.958277],D208X10486,(BIKE LANE) ROYAL PDE N BD 10M N OF GATEHOUSE ST,NORTH BOUND,ACBYC,METRO NORTH WEST,
54,10486,42173,-37.7925397,144.9584352,[-37.792828 +144.958619],D208X10486,(BIKE LANE) ROYAL PDE S BD 20M S OF GATEHOUSE ST,SOUTH BOUND,ACBYC,METRO NORTH WEST,
55,10488,24027,-37.8721308,144.9896562,[-37.870060 +144.988111],D208X10488,(BIKE LANE) BRIGHTON RD N BD 50M S OF MOZART ST,NORTH BOUND,ACBYC,METRO NORTH WEST,
