Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,Bike_Path_Dist_m,total_safe_bike_path_meters,Pax_annual_norm,Pax_AM_peak_norm,Bike_Path_Dist_m_norm,Train_Line
FY24-25,19880,Pakenham,-38.08061397,145.4863791,495750,1550,1600,1400,1000,750,350,500,450,300,50,24.738338190280114,3627.0711104448947,0.025126332090388573,0.11842105263157894,0.00850455535396488,Sunbury Line
FY24-25,19881,Officer,-38.06614572,145.4109872,208600,700,750,550,250,200,150,350,150,100,50,48.26149478366448,10184.006107488694,0.010498807995598753,0.07894736842105263,0.01673458262169928,Pakenham Line
FY24-25,19881,Officer,-38.06614572,145.4109872,208600,700,750,550,250,200,150,350,150,100,50,48.26149478366448,10184.006107488694,0.010498807995598753,0.07894736842105263,0.01673458262169928,Sunbury Line
FY24-25,19882,Beaconsfield,-38.05083135,145.3660737,199950,700,750,500,250,150,150,350,100,100,50,25.885075845828016,2455.5416980660716,0.010058173890009577,0.07894736842105263,0.0089057635054572409,Pakenham Line
FY24-25,19882,Beaconsfield,-38.05083135,145.3660737,199950,700,750,500,250,150,150,350,100,100,50,25.885075845828016,2455.5416980660716,0.010058173890009577,0.07894736842105263,0.0089057635054572409,Sunbury Line
FY24-25,19883,Berwick,-38.04040829,145.3457261,1008200,3450,3700,2600,1300,900,700,1600,750,600,100,59.940606075430225,3775.8578436848825,0.05123071907410803,0.40789473684210525,0.020820743593019317,Pakenham Line
FY24-25,19883,Berwick,-38.04040829,145.3457261,1008200,3450,3700,2600,1300,900,700,1600,750,600,100,59.940606075430225,3775.8578436848825,0.05123071907410803,0.40789473684210525,0.020820743593019317,Sunbury Line
FY24-25,19884,Narre Warren,-38.02780932,145.3039694,522200,1700,1800,1400,900,650,250,750,400,300,100,0.4305223300912203,7001.768327927237,0.026473704586669925,0.18421052631578946,0,Pakenham Line
FY24-25,19884,Narre Warren,-38.02780932,145.3039694,522200,1700,1800,1400,900,650,250,750,400,300,100,0.4305223300912203,7001.768327927237,0.026473704586669925,0.18421052631578946,0,Sunbury Line
FY24-25,19885,Hallam,-38.01774038,145.2697768,521500,1750,1850,1400,750,500,300,850,350,300,50,85.24457824786803,3558.9870544687433,0.02643804633535057,0.21052631578947367,0.029673823328913454,Pakenham Line
FY24-25,19885,Hallam,-38.01774038,145.2697768,521500,1750,1850,1400,750,500,300,850,350,300,50,85.24457824786803,3558.9870544687433,0.02643804633535057,0.21052631578947367,0.029673823328913454,Sunbury Line
FY24-25,19886,Cranbourne,-38.09953731,145.280599,1054250,3500,3650,2900,1650,1250,800,1600,800,400,100,27.162975766412323,1398.3670095726013,0.05357652260733134,0.40789473684210525,0.009352861289723248,Cranbourne Line
